"target_model_name","P","Q"
"gpt-4o-mini","Will the population of India increase by more than 15% by 2032?

This question resolves as YES if the population of India increases by more than 15% by 2032, as reported by the United Nations Department of Economic and Social Affairs (un.org) on December 31, 2032. Resolution source: United Nations Department of Economic and Social Affairs (un.org).","Will the global demand for housing increase by more than 12% in 2034?

This question resolves as YES if the global demand for housing increases by more than 12% in 2034, as reported by the International Housing Association (housing.org) on December 31, 2034.  Resolution Source: International Housing Association (housing.org)."
"gpt-4o-mini","Will the number of electric vehicles sold in the United States increase by more than 30% in 2027?

This question resolves as YES if the number of electric vehicles sold in the United States increases by more than 30% in 2027, as reported by the International Energy Agency (iea.org) on December 31, 2027.  Resolution source: International Energy Agency (iea.org).","Will the global demand for lithium decrease by more than 10% in 2028?

This question resolves as YES if the global demand for lithium decreases by more than 10% in 2028, as reported by the United States Geological Survey (usgs.gov) on December 31, 2028. Resolution Source: United States Geological Survey (usgs.gov)."
"gpt-4o-mini","Will Apple commit to using 100% renewable energy in its operations by 2025?

This question resolves as YES if Apple commits to using 100% renewable energy in its operations by 2025, as reported by Apple's official website (apple.com) on December 31, 2025. Resolution source: Apple's official website (apple.com).","Will Google also commit to using 100% renewable energy in its operations by 2025?

This question resolves as YES if Google also commits to using 100% renewable energy in its operations by 2025, as reported by Google's official blog (blog.google) on December 31, 2025. Resolution Source: Google's official blog (blog.google)."
"gpt-4o-mini","Will Microsoft invest more than $1 billion in quantum computing research by 2028?

This question resolves as YES if Microsoft invests more than $1 billion in quantum computing research by 2028, as reported by Microsoft's official investor relations website (investor.microsoft.com) on December 31, 2028. Resolution source: Microsoft's official investor relations website (investor.microsoft.com).","Will the development of AGI be accelerated by 2031?

This question resolves as YES if the development of AGI is accelerated by 2031, as reported by reputable sources such as Nature or Science on December 31, 2031.  'Accelerated' means that the consensus view among experts in the field, as reflected in publications in Nature or Science, is that significant progress toward AGI has been made sooner than was previously expected, directly attributable to advancements enabled by quantum computing. Resolution source: Nature or Science."
"gpt-4o-mini","Will the global average temperature increase by more than 1.5°C above pre-industrial levels by 2030?

This question resolves as YES if the global average temperature increases by more than 1.5°C above pre-industrial levels by 2030, as reported by the National Oceanic and Atmospheric Administration (noaa.gov) on December 31, 2030. Resolution source: National Oceanic and Atmospheric Administration (noaa.gov).","Will global wheat production decrease by more than 10% by 2032?

This question resolves as YES if global wheat production decreases by more than 10% by 2032, as reported by the Food and Agriculture Organization of the United Nations (fao.org) on December 31, 2032. Resolution Source: Food and Agriculture Organization of the United Nations (fao.org)."
"gpt-4o-mini","Will Amazon develop a fully functional autonomous delivery drone by 2028?

This question resolves as YES if Amazon develops a fully functional autonomous delivery drone by 2028, as reported by Amazon's official blog (aboutamazon.com) on December 31, 2028. 'Fully functional' means the drone can autonomously navigate, deliver packages, and return to base without human intervention, in a real-world setting (not just a controlled test environment). Resolution source: Amazon's official blog (aboutamazon.com).","Will Amazon's market share in the e-commerce industry increase by more than 10% by 2030?

This question resolves as YES if Amazon's market share in the e-commerce industry increases by more than 10% by 2030, as reported by eMarketer (emarketer.com) on December 31, 2030. Resolution Source: eMarketer (emarketer.com)."
"gpt-4o-mini","Will IKEA's carbon footprint decrease by more than 8% in 2025?

This question resolves as YES if IKEA's carbon footprint decreases by more than 8% in 2025, as reported by IKEA's official website (ikea.com) on January 31, 2026. Resolution source: IKEA's official website (ikea.com).","Will the company's market share increase by more than 5% in 2025?

This question resolves as YES if the company's market share increases by more than 5% in 2025, as reported by Euromonitor International's official website (euromonitor.com) on December 31, 2025. Resolution Source: Euromonitor International's official website (euromonitor.com)."
"gpt-4o-mini","Will the European Central Bank increase its bond purchases by more than 20% by 2029?

This question resolves as YES if the European Central Bank increases its bond purchases by more than 20% by 2029, as reported by the European Central Bank's official website (ecb.europa.eu) on December 31, 2029. The 20% increase is relative to the total bond purchases as of December 31, 2028. Resolution source: European Central Bank's official website (ecb.europa.eu).","Will the Eurozone's housing market experience a boom by 2031?

This question resolves as YES if the Eurozone's housing market experiences a boom by 2031, as reported by Bloomberg (bloomberg.com) on December 31, 2031.  A 'boom' is defined as an increase of more than 15% in the Eurozone Housing Price Index, as tracked by Bloomberg, between December 31, 2029 and December 31, 2031.  Resolution Source: Bloomberg (bloomberg.com)."
"gpt-4o-mini","Will the Federal Reserve raise interest rates by more than 150 basis points in 2027?

This question resolves as YES if the Federal Reserve raises interest rates by more than 150 basis points in 2027, as reported by the Federal Reserve's official website (federalreserve.gov) on December 31, 2027. Resolution Source: Federal Reserve's official website (federalreserve.gov).","Will the S&P 500 index decrease by more than 12% in 2028?

This question resolves as YES if the S&P 500 index decreases by more than 12% in 2028, as reported by Yahoo Finance (finance.yahoo.com) on December 31, 2028. Resolution source: Yahoo Finance (finance.yahoo.com)."
"gpt-4o-mini","Will Google release a new Pixel smartphone in 2025?

This question resolves as YES if Google releases a new Pixel smartphone in 2025, as reported by Google's official blog (blog.google) on December 31, 2025. 'New' refers to a model not previously released. Resolution source: Google's official blog (blog.google).","Will Samsung's smartphone sales decline by more than 10% in 2025?

This question resolves as YES if Samsung's smartphone sales decline by more than 10% in 2025 compared to 2024, as reported by Samsung's official investor relations website (samsung.com/investor-relations) on January 31, 2026. Resolution Source: Samsung's official investor relations website (samsung.com/investor-relations)."
